"October 23, 2014 at 11:23PM",Artist: Ratatat,Track: El Pico,Album: Ratatat,,http://ift.tt/GGtZUI
"October 23, 2014 at 11:27PM",Artist: Dan the Automator,Track: Mastermind (Instrumental),Album: Deltron 3030 Instrumentals,,http://ift.tt/KL4w25
"October 23, 2014 at 11:32PM",Artist: Black Moth Super Rainbow,Track: From the See,Album: Start A People,,http://ift.tt/1np2vZh
"October 23, 2014 at 11:33PM",Artist: Deastro,Track: LIGHT POWERED,Album: Keepers,,http://ift.tt/AFaQ5Y
"October 23, 2014 at 11:35PM",Artist: Freddie Joachim,Track: My People,Album: Midway,,http://ift.tt/1ivwMkJ
"October 23, 2014 at 11:38PM",Artist: Ratatat,Track: Bilar,Album: LP4,,http://ift.tt/11u3dIz
"October 23, 2014 at 11:42PM",Artist: Cookin' On 3 Burners,Track: Feel Good Inc.,"Album: Baked, Broiled And Fried",,http://ift.tt/RnnXdO.
"October 23, 2014 at 11:48PM",Artist: RJD2,Track: Get It,Album: The Third Hand,,http://ift.tt/USyu3k
"October 23, 2014 at 11:51PM",Artist: The Glitch Mob,Track: A Dream Within a Dream,Album: Drink the Sea,,http://ift.tt/y0SuvA
"October 23, 2014 at 11:58PM",Artist: Kasabian,Track: Empire,Album: Empire,,http://ift.tt/q7ZIAR
"October 24, 2014 at 12:02AM",Artist: Beck,Track: Go It Alone,Album: Guero,,http://ift.tt/IORU5P
"October 24, 2014 at 06:41PM",Artist: Spoon,Track: The Way We Get By,Album: Kill the Moonlight,,http://ift.tt/tdaKIQ
"October 24, 2014 at 06:44PM",Artist: Arctic Monkeys,Track: I Wanna Be Yours,Album: AM,,http://ift.tt/15sT58B
"October 24, 2014 at 06:47PM",Artist: Kasabian,Track: Seek and Destroy,Album: Empire,,http://ift.tt/1bsl3n8
"October 24, 2014 at 06:49PM",Artist: Yeah Yeah Yeahs,Track: Heads Will Roll,Album: It's Blitz!,,http://ift.tt/rqHHUe
"October 24, 2014 at 06:53PM",Artist: The Bravery,Track: Time Won't Let Me Go,Album: Time Won't Let Me Go,,http://ift.tt/uacHff
"October 24, 2014 at 06:57PM",Artist: Arctic Monkeys,Track: Arabella,Album: AM,,http://ift.tt/15N5UIi
"October 24, 2014 at 07:01PM",Artist: Patrick Sweany,Track: Them Shoes,Album: Every Hour Is A Dollar Gone,,http://ift.tt/QgMFvi
"October 24, 2014 at 07:08PM",Artist: Kasabian,Track: Running Battle,Album: Kasabian,,http://ift.tt/uWdloE
"October 24, 2014 at 07:12PM",Artist: Gorillaz,Track: Kids With Guns,Album: Demon Days,,http://ift.tt/vsVBHE
"October 24, 2014 at 07:16PM",Artist: Spoon,Track: Got Nuffin,Album: Got Nuffin EP,,http://ift.tt/xq4Wiu
"October 24, 2014 at 07:20PM",Artist: The White Stripes,Track: Fell in Love With a Girl,Album: White Blood Cells,,http://ift.tt/rCdtQn
"October 24, 2014 at 07:21PM",Artist: Arctic Monkeys,Track: I Want It All,Album: AM,,http://ift.tt/14mKiPj
"October 24, 2014 at 07:25PM",Artist: The Dandy Warhols,Track: We Used To Be Friends (2009),Album: Are Sound,,http://ift.tt/1zqjdzb
