"October 21, 2014 at 01:55PM",Artist: Kasabian,Track: Club Foot,Album: Kasabian,,http://ift.tt/t7duz3,rock,british
"October 21, 2014 at 01:59PM",Artist: Beck,Track: Think I'm In Love,Album: The Information,,http://ift.tt/tyzqPt,rock,american
"October 21, 2014 at 02:02PM",Artist: She Wants Revenge,Track: Broken Promises For Broken Hearts,Album: She Wants Revenge,,http://ift.tt/yqTWyr,rock,american 
"October 21, 2014 at 02:06PM",Artist: Muse,Track: Feeling Good,Album: Origin of Symmetry,,http://ift.tt/pwQoZ4,rock,british
"October 21, 2014 at 02:09PM",Artist: Arctic Monkeys,Track: One for the Road,Album: AM,,http://ift.tt/135ba9e,indie rock,british
"October 21, 2014 at 02:13PM",Artist: Spoon,Track: I Turn My Camera On,Album: I Turn My Camera On,,http://ift.tt/rqVmT9,indi rock,american
"October 21, 2014 at 02:17PM",Artist: Kasabian,Track: Processed Beats,Album: Kasabian,,http://ift.tt/tiRkOQ,rock,british
"October 21, 2014 at 02:20PM",Artist: Muse,Track: Hysteria,Album: Absolution,,http://ift.tt/oGKCPC,rock,british
